Date,MW
31-07-2018 23:00,35950
31-07-2018 22:00,38610
31-07-2018 21:00,39938
31-07-2018 20:00,40289
31-07-2018 19:00,41299
31-07-2018 18:00,42011
31-07-2018 17:00,41747
31-07-2018 16:00,41003
31-07-2018 15:00,40464
31-07-2018 14:00,39928
31-07-2018 13:00,39084
31-07-2018 12:00,37977
31-07-2018 11:00,36507
31-07-2018 10:00,34799
31-07-2018 09:00,33056
31-07-2018 08:00,31217
31-07-2018 07:00,28913
31-07-2018 06:00,26863
31-07-2018 05:00,25408
31-07-2018 04:00,25050
31-07-2018 03:00,25356
31-07-2018 02:00,26192
31-07-2018 01:00,27576
31-07-2018 00:00,29701
30-07-2018 23:00,32303
30-07-2018 22:00,34879
30-07-2018 21:00,35899
30-07-2018 20:00,36166
30-07-2018 19:00,36901
30-07-2018 18:00,37564
30-07-2018 17:00,37600
30-07-2018 16:00,37615
30-07-2018 15:00,37624
30-07-2018 14:00,37671
30-07-2018 13:00,37228
30-07-2018 12:00,36747
30-07-2018 11:00,36060
30-07-2018 10:00,34779
30-07-2018 09:00,33081
30-07-2018 08:00,31050
30-07-2018 07:00,28676
30-07-2018 06:00,26824
30-07-2018 05:00,25479
30-07-2018 04:00,25200
30-07-2018 03:00,25675
30-07-2018 02:00,26779
30-07-2018 01:00,28389
30-07-2018 00:00,30789
29-07-2018 23:00,33747
29-07-2018 22:00,36581
29-07-2018 21:00,37870
29-07-2018 20:00,39089
29-07-2018 19:00,40517
29-07-2018 18:00,40709
29-07-2018 17:00,39906
29-07-2018 16:00,38637
29-07-2018 15:00,37250
29-07-2018 14:00,35770
29-07-2018 13:00,34226
29-07-2018 12:00,32581
29-07-2018 11:00,30917
29-07-2018 10:00,29021
29-07-2018 09:00,27022
29-07-2018 08:00,25175
29-07-2018 07:00,24161
29-07-2018 06:00,24255
29-07-2018 05:00,24494
29-07-2018 04:00,25090
29-07-2018 03:00,26103
29-07-2018 02:00,27473
29-07-2018 01:00,29376
29-07-2018 00:00,31940
28-07-2018 23:00,34687
28-07-2018 22:00,37375
28-07-2018 21:00,38869
28-07-2018 20:00,40498
28-07-2018 19:00,42174
28-07-2018 18:00,42835
28-07-2018 17:00,42632
28-07-2018 16:00,42088
28-07-2018 15:00,41303
28-07-2018 14:00,40057
28-07-2018 13:00,38708
28-07-2018 12:00,37024
28-07-2018 11:00,34997
28-07-2018 10:00,32944
28-07-2018 09:00,30618
28-07-2018 08:00,28155
28-07-2018 07:00,26570
28-07-2018 06:00,26178
28-07-2018 05:00,25964
28-07-2018 04:00,26276
28-07-2018 03:00,27069
28-07-2018 02:00,28324
28-07-2018 01:00,30085
28-07-2018 00:00,32468
27-07-2018 23:00,35038
27-07-2018 22:00,37618
27-07-2018 21:00,39275
27-07-2018 20:00,40883
27-07-2018 19:00,42950
27-07-2018 18:00,45572
27-07-2018 17:00,46864
27-07-2018 16:00,46988
27-07-2018 15:00,47401
27-07-2018 14:00,46850
27-07-2018 13:00,45475
27-07-2018 12:00,43895
27-07-2018 11:00,41832
27-07-2018 10:00,39094
27-07-2018 09:00,36528
27-07-2018 08:00,33962
27-07-2018 07:00,31386
27-07-2018 06:00,29535
27-07-2018 05:00,28437
27-07-2018 04:00,28422
27-07-2018 03:00,29279
27-07-2018 02:00,30772
27-07-2018 01:00,32798
27-07-2018 00:00,35742
26-07-2018 23:00,39276
26-07-2018 22:00,42638
26-07-2018 21:00,44542
26-07-2018 20:00,46337
26-07-2018 19:00,48261
26-07-2018 18:00,49029
26-07-2018 17:00,48525
26-07-2018 16:00,47369
26-07-2018 15:00,45954
26-07-2018 14:00,44214
26-07-2018 13:00,42325
26-07-2018 12:00,40547
26-07-2018 11:00,38660
26-07-2018 10:00,36666
26-07-2018 09:00,35105
26-07-2018 08:00,33358
26-07-2018 07:00,31020
26-07-2018 06:00,29005
26-07-2018 05:00,27625
26-07-2018 04:00,27402
26-07-2018 03:00,27796
26-07-2018 02:00,28810
26-07-2018 01:00,30293
26-07-2018 00:00,32551
25-07-2018 23:00,35368
25-07-2018 22:00,38033
25-07-2018 21:00,39434
25-07-2018 20:00,40182
25-07-2018 19:00,41387
25-07-2018 18:00,42707
25-07-2018 17:00,43216
25-07-2018 16:00,43279
25-07-2018 15:00,42993
25-07-2018 14:00,42225
25-07-2018 13:00,41169
25-07-2018 12:00,40271
25-07-2018 11:00,39039
25-07-2018 10:00,37783
25-07-2018 09:00,36320
25-07-2018 08:00,34745
25-07-2018 07:00,32811
25-07-2018 06:00,30800
25-07-2018 05:00,29518
25-07-2018 04:00,29434
25-07-2018 03:00,30064
25-07-2018 02:00,31093
25-07-2018 01:00,32647
25-07-2018 00:00,34974
24-07-2018 23:00,37900
24-07-2018 22:00,40559
24-07-2018 21:00,41834
24-07-2018 20:00,42440
24-07-2018 19:00,43757
24-07-2018 18:00,44709
24-07-2018 17:00,44989
24-07-2018 16:00,44776
24-07-2018 15:00,44433
24-07-2018 14:00,43988
24-07-2018 13:00,43027
24-07-2018 12:00,42108
24-07-2018 11:00,40831
24-07-2018 10:00,39246
24-07-2018 09:00,37691
24-07-2018 08:00,35887
24-07-2018 07:00,33578
24-07-2018 06:00,31344
24-07-2018 05:00,29871
24-07-2018 04:00,29625
24-07-2018 03:00,30071
24-07-2018 02:00,31053
24-07-2018 01:00,32568
24-07-2018 00:00,34904
23-07-2018 23:00,37727
23-07-2018 22:00,40395
23-07-2018 21:00,41745
23-07-2018 20:00,42433
23-07-2018 19:00,43791
23-07-2018 18:00,44891
23-07-2018 17:00,45096
23-07-2018 16:00,44848
23-07-2018 15:00,44334
23-07-2018 14:00,43182
23-07-2018 13:00,42086
23-07-2018 12:00,41007
23-07-2018 11:00,39593
23-07-2018 10:00,37947
23-07-2018 09:00,36661
23-07-2018 08:00,34989
23-07-2018 07:00,32794
23-07-2018 06:00,30603
23-07-2018 05:00,28839
23-07-2018 04:00,28259
23-07-2018 03:00,28460
23-07-2018 02:00,29139
23-07-2018 01:00,30384
23-07-2018 00:00,32150
22-07-2018 23:00,34405
22-07-2018 22:00,36331
22-07-2018 21:00,36995
22-07-2018 20:00,37374
22-07-2018 19:00,38254
22-07-2018 18:00,38878
22-07-2018 17:00,38288
22-07-2018 16:00,37274
22-07-2018 15:00,36544
22-07-2018 14:00,35498
22-07-2018 13:00,34052
22-07-2018 12:00,32147
22-07-2018 11:00,30291
22-07-2018 10:00,28581
22-07-2018 09:00,26719
22-07-2018 08:00,24967
22-07-2018 07:00,24019
22-07-2018 06:00,23972
22-07-2018 05:00,23872
22-07-2018 04:00,24053
22-07-2018 03:00,24463
22-07-2018 02:00,25053
22-07-2018 01:00,26051
22-07-2018 00:00,27413
21-07-2018 23:00,28870
21-07-2018 22:00,30115
21-07-2018 21:00,30608
21-07-2018 20:00,30498
21-07-2018 19:00,30843
21-07-2018 18:00,31147
21-07-2018 17:00,31259
21-07-2018 16:00,31466
21-07-2018 15:00,31885
21-07-2018 14:00,32255
21-07-2018 13:00,32417
21-07-2018 12:00,32231
21-07-2018 11:00,31587
21-07-2018 10:00,30453
21-07-2018 09:00,28749
21-07-2018 08:00,26759
21-07-2018 07:00,25327
21-07-2018 06:00,24910
21-07-2018 05:00,24745
21-07-2018 04:00,25041
21-07-2018 03:00,25831
21-07-2018 02:00,26963
21-07-2018 01:00,28751
21-07-2018 00:00,31204
20-07-2018 23:00,34018
20-07-2018 22:00,36564
20-07-2018 21:00,37810
20-07-2018 20:00,39593
20-07-2018 19:00,41754
20-07-2018 18:00,43254
20-07-2018 17:00,43320
20-07-2018 16:00,42758
20-07-2018 15:00,42019
20-07-2018 14:00,41134
20-07-2018 13:00,39996
20-07-2018 12:00,38779
20-07-2018 11:00,37203
20-07-2018 10:00,35273
20-07-2018 09:00,33148
20-07-2018 08:00,30736
20-07-2018 07:00,28164
20-07-2018 06:00,26442
20-07-2018 05:00,25507
20-07-2018 04:00,25451
20-07-2018 03:00,26175
20-07-2018 02:00,27369
20-07-2018 01:00,29098
20-07-2018 00:00,31740
19-07-2018 23:00,34983
19-07-2018 22:00,38082
19-07-2018 21:00,39779
19-07-2018 20:00,41774
19-07-2018 19:00,43602
19-07-2018 18:00,44317
19-07-2018 17:00,43598
19-07-2018 16:00,42256
19-07-2018 15:00,40755
19-07-2018 14:00,39359
19-07-2018 13:00,37768
19-07-2018 12:00,36419
19-07-2018 11:00,34909
19-07-2018 10:00,33321
19-07-2018 09:00,31871
19-07-2018 08:00,30110
19-07-2018 07:00,27824
19-07-2018 06:00,26089
19-07-2018 05:00,25063
19-07-2018 04:00,25119
19-07-2018 03:00,25875
19-07-2018 02:00,27128
19-07-2018 01:00,29092
19-07-2018 00:00,31896
18-07-2018 23:00,35276
18-07-2018 22:00,38647
18-07-2018 21:00,40363
18-07-2018 20:00,42401
18-07-2018 19:00,44294
18-07-2018 18:00,45057
18-07-2018 17:00,44607
18-07-2018 16:00,43742
18-07-2018 15:00,42771
18-07-2018 14:00,41680
18-07-2018 13:00,40359
18-07-2018 12:00,38927
18-07-2018 11:00,37339
18-07-2018 10:00,35766
18-07-2018 09:00,34136
18-07-2018 08:00,32274
18-07-2018 07:00,29821
18-07-2018 06:00,28141
18-07-2018 05:00,27307
18-07-2018 04:00,27404
18-07-2018 03:00,28289
18-07-2018 02:00,29604
18-07-2018 01:00,31421
18-07-2018 00:00,34033
17-07-2018 23:00,37211
17-07-2018 22:00,40267
17-07-2018 21:00,41467
17-07-2018 20:00,42426
17-07-2018 19:00,43702
17-07-2018 18:00,44681
17-07-2018 17:00,45172
17-07-2018 16:00,46917
17-07-2018 15:00,49579
17-07-2018 14:00,50490
17-07-2018 13:00,49586
17-07-2018 12:00,48061
17-07-2018 11:00,45887
17-07-2018 10:00,43309
17-07-2018 09:00,40896
17-07-2018 08:00,38360
17-07-2018 07:00,35386
17-07-2018 06:00,33401
17-07-2018 05:00,32257
17-07-2018 04:00,32284
17-07-2018 03:00,33185
17-07-2018 02:00,34665
17-07-2018 01:00,36824
17-07-2018 00:00,39928
16-07-2018 23:00,43544
16-07-2018 22:00,47205
16-07-2018 21:00,49063
16-07-2018 20:00,50618
16-07-2018 19:00,52226
16-07-2018 18:00,53352
16-07-2018 17:00,53764
16-07-2018 16:00,53408
16-07-2018 15:00,52742
16-07-2018 14:00,51410
16-07-2018 13:00,49438
16-07-2018 12:00,46981
16-07-2018 11:00,44199
16-07-2018 10:00,41134
16-07-2018 09:00,38139
16-07-2018 08:00,35160
16-07-2018 07:00,31949
16-07-2018 06:00,29784
16-07-2018 05:00,28477
16-07-2018 04:00,28250
16-07-2018 03:00,28772
16-07-2018 02:00,29945
16-07-2018 01:00,31711
16-07-2018 00:00,34259
15-07-2018 23:00,37301
15-07-2018 22:00,39819
15-07-2018 21:00,40646
15-07-2018 20:00,41550
15-07-2018 19:00,42348
15-07-2018 18:00,42005
15-07-2018 17:00,40418
15-07-2018 16:00,38385
15-07-2018 15:00,36899
15-07-2018 14:00,36039
15-07-2018 13:00,35304
15-07-2018 12:00,34840
15-07-2018 11:00,33782
15-07-2018 10:00,31808
15-07-2018 09:00,29624
15-07-2018 08:00,27771
15-07-2018 07:00,26749
15-07-2018 06:00,26712
15-07-2018 05:00,26832
15-07-2018 04:00,27472
15-07-2018 03:00,28409
15-07-2018 02:00,29820
15-07-2018 01:00,31822
15-07-2018 00:00,34543
14-07-2018 23:00,37423
14-07-2018 22:00,40018
14-07-2018 21:00,41351
14-07-2018 20:00,43030
14-07-2018 19:00,44606
14-07-2018 18:00,44984
14-07-2018 17:00,44380
14-07-2018 16:00,43166
14-07-2018 15:00,41810
14-07-2018 14:00,40343
14-07-2018 13:00,38782
14-07-2018 12:00,37040
14-07-2018 11:00,34784
14-07-2018 10:00,32295
14-07-2018 09:00,29717
14-07-2018 08:00,27241
14-07-2018 07:00,25489
14-07-2018 06:00,25066
14-07-2018 05:00,25068
14-07-2018 04:00,25464
14-07-2018 03:00,26383
14-07-2018 02:00,27773
14-07-2018 01:00,29814
14-07-2018 00:00,32597
13-07-2018 23:00,35709
13-07-2018 22:00,38638
13-07-2018 21:00,40150
13-07-2018 20:00,42301
13-07-2018 19:00,44352
13-07-2018 18:00,45368
13-07-2018 17:00,45207
13-07-2018 16:00,44485
13-07-2018 15:00,43465
13-07-2018 14:00,42200
13-07-2018 13:00,40552
13-07-2018 12:00,39153
13-07-2018 11:00,37451
13-07-2018 10:00,35506
13-07-2018 09:00,33540
13-07-2018 08:00,31322
13-07-2018 07:00,28777
13-07-2018 06:00,26969
13-07-2018 05:00,26072
13-07-2018 04:00,26097
13-07-2018 03:00,26823
13-07-2018 02:00,28104
13-07-2018 01:00,30004
13-07-2018 00:00,32887
12-07-2018 23:00,36168
12-07-2018 22:00,39212
12-07-2018 21:00,40614
12-07-2018 20:00,42278
12-07-2018 19:00,44188
12-07-2018 18:00,45202
12-07-2018 17:00,45162
12-07-2018 16:00,44622
12-07-2018 15:00,43799
12-07-2018 14:00,42744
12-07-2018 13:00,41289
12-07-2018 12:00,39765
12-07-2018 11:00,38167
12-07-2018 10:00,36208
12-07-2018 09:00,34365
12-07-2018 08:00,32262
12-07-2018 07:00,29919
12-07-2018 06:00,28072
12-07-2018 05:00,27150
12-07-2018 04:00,27314
12-07-2018 03:00,28141
12-07-2018 02:00,29530
12-07-2018 01:00,31596
12-07-2018 00:00,34724
11-07-2018 23:00,38176
11-07-2018 22:00,41557
11-07-2018 21:00,43176
11-07-2018 20:00,44899
11-07-2018 19:00,47227
11-07-2018 18:00,48488
11-07-2018 17:00,48546
11-07-2018 16:00,48007
11-07-2018 15:00,47239
11-07-2018 14:00,46210
11-07-2018 13:00,44897
11-07-2018 12:00,43429
11-07-2018 11:00,41478
11-07-2018 10:00,39391
11-07-2018 09:00,37384
11-07-2018 08:00,35156
11-07-2018 07:00,32425
11-07-2018 06:00,30570
11-07-2018 05:00,29571
11-07-2018 04:00,29755
11-07-2018 03:00,30727
11-07-2018 02:00,32241
11-07-2018 01:00,34491
11-07-2018 00:00,37750
10-07-2018 23:00,41533
10-07-2018 22:00,45245
10-07-2018 21:00,47194
10-07-2018 20:00,49264
10-07-2018 19:00,50943
10-07-2018 18:00,51429
10-07-2018 17:00,50731
10-07-2018 16:00,49442
10-07-2018 15:00,47959
10-07-2018 14:00,46219
10-07-2018 13:00,44216
10-07-2018 12:00,42103
10-07-2018 11:00,39621
10-07-2018 10:00,36944
10-07-2018 09:00,34357
10-07-2018 08:00,31787
10-07-2018 07:00,28883
10-07-2018 06:00,26841
10-07-2018 05:00,25808
10-07-2018 04:00,25735
10-07-2018 03:00,26401
10-07-2018 02:00,27677
10-07-2018 01:00,29679
10-07-2018 00:00,32776
09-07-2018 23:00,36290
09-07-2018 22:00,39795
09-07-2018 21:00,41662
09-07-2018 20:00,43886
09-07-2018 19:00,45494
09-07-2018 18:00,45771
09-07-2018 17:00,44848
09-07-2018 16:00,43276
09-07-2018 15:00,41572
09-07-2018 14:00,39879
09-07-2018 13:00,38091
09-07-2018 12:00,36489
09-07-2018 11:00,34764
09-07-2018 10:00,32864
09-07-2018 09:00,31048
09-07-2018 08:00,29088
09-07-2018 07:00,26519
09-07-2018 06:00,24626
09-07-2018 05:00,23484
09-07-2018 04:00,23223
09-07-2018 03:00,23663
09-07-2018 02:00,24582
09-07-2018 01:00,26251
09-07-2018 00:00,28679
08-07-2018 23:00,31538
08-07-2018 22:00,34020
08-07-2018 21:00,34974
08-07-2018 20:00,36497
08-07-2018 19:00,37450
08-07-2018 18:00,37210
08-07-2018 17:00,35838
08-07-2018 16:00,34151
08-07-2018 15:00,32586
08-07-2018 14:00,31227
08-07-2018 13:00,30008
08-07-2018 12:00,28760
08-07-2018 11:00,27396
08-07-2018 10:00,25826
08-07-2018 09:00,24211
08-07-2018 08:00,22544
08-07-2018 07:00,21428
08-07-2018 06:00,21211
08-07-2018 05:00,21353
08-07-2018 04:00,21597
08-07-2018 03:00,22232
08-07-2018 02:00,23196
08-07-2018 01:00,24656
08-07-2018 00:00,26894
07-07-2018 23:00,29070
07-07-2018 22:00,30855
07-07-2018 21:00,31614
07-07-2018 20:00,33101
07-07-2018 19:00,34170
07-07-2018 18:00,34233
07-07-2018 17:00,33430
07-07-2018 16:00,32356
07-07-2018 15:00,31347
07-07-2018 14:00,30565
07-07-2018 13:00,29976
07-07-2018 12:00,29421
07-07-2018 11:00,28681
07-07-2018 10:00,27693
07-07-2018 09:00,26449
07-07-2018 08:00,24818
07-07-2018 07:00,23663
07-07-2018 06:00,23358
07-07-2018 05:00,23519
07-07-2018 04:00,24081
07-07-2018 03:00,25035
07-07-2018 02:00,26556
07-07-2018 01:00,28643
07-07-2018 00:00,31602
06-07-2018 23:00,34647
06-07-2018 22:00,37544
06-07-2018 21:00,38882
06-07-2018 20:00,40731
06-07-2018 19:00,42606
06-07-2018 18:00,43651
06-07-2018 17:00,43890
06-07-2018 16:00,43843
06-07-2018 15:00,43594
06-07-2018 14:00,43241
06-07-2018 13:00,42955
06-07-2018 12:00,42539
06-07-2018 11:00,41668
06-07-2018 10:00,40621
06-07-2018 09:00,39381
06-07-2018 08:00,37575
06-07-2018 07:00,35573
06-07-2018 06:00,34020
06-07-2018 05:00,33129
06-07-2018 04:00,33133
06-07-2018 03:00,33844
06-07-2018 02:00,35164
06-07-2018 01:00,37168
06-07-2018 00:00,40087
05-07-2018 23:00,43432
05-07-2018 22:00,46736
05-07-2018 21:00,48431
05-07-2018 20:00,50066
05-07-2018 19:00,51786
05-07-2018 18:00,52503
05-07-2018 17:00,52045
05-07-2018 16:00,51351
05-07-2018 15:00,50858
05-07-2018 14:00,50094
05-07-2018 13:00,48646
05-07-2018 12:00,46809
05-07-2018 11:00,44632
05-07-2018 10:00,42013
05-07-2018 09:00,39443
05-07-2018 08:00,36956
05-07-2018 07:00,33894
05-07-2018 06:00,31845
05-07-2018 05:00,30872
05-07-2018 04:00,30749
05-07-2018 03:00,31209
05-07-2018 02:00,32368
05-07-2018 01:00,34220
05-07-2018 00:00,36699
04-07-2018 23:00,39131
04-07-2018 22:00,40860
04-07-2018 21:00,42157
04-07-2018 20:00,43361
04-07-2018 19:00,44964
04-07-2018 18:00,46611
04-07-2018 17:00,47504
04-07-2018 16:00,47897
04-07-2018 15:00,47767
04-07-2018 14:00,47275
04-07-2018 13:00,46164
04-07-2018 12:00,44266
04-07-2018 11:00,41539
04-07-2018 10:00,38405
04-07-2018 09:00,35299
04-07-2018 08:00,32565
04-07-2018 07:00,31027
04-07-2018 06:00,30668
04-07-2018 05:00,30707
04-07-2018 04:00,31306
04-07-2018 03:00,32477
04-07-2018 02:00,34060
04-07-2018 01:00,36317
04-07-2018 00:00,39340
03-07-2018 23:00,42437
03-07-2018 22:00,45506
03-07-2018 21:00,47292
03-07-2018 20:00,49244
03-07-2018 19:00,51788
03-07-2018 18:00,53679
03-07-2018 17:00,54724
03-07-2018 16:00,54908
03-07-2018 15:00,54908
03-07-2018 14:00,54852
03-07-2018 13:00,53623
03-07-2018 12:00,51603
03-07-2018 11:00,48876
03-07-2018 10:00,45766
03-07-2018 09:00,42680
03-07-2018 08:00,39728
03-07-2018 07:00,36759
03-07-2018 06:00,34734
03-07-2018 05:00,33912
03-07-2018 04:00,34189
03-07-2018 03:00,35334
03-07-2018 02:00,37091
03-07-2018 01:00,39641
03-07-2018 00:00,42919
02-07-2018 23:00,46833
02-07-2018 22:00,50685
02-07-2018 21:00,52757
02-07-2018 20:00,54644
02-07-2018 19:00,56231
02-07-2018 18:00,56609
02-07-2018 17:00,56430
02-07-2018 16:00,55836
02-07-2018 15:00,55159
02-07-2018 14:00,54170
02-07-2018 13:00,52533
02-07-2018 12:00,50475
02-07-2018 11:00,47740
02-07-2018 10:00,44377
02-07-2018 09:00,40987
02-07-2018 08:00,37526
02-07-2018 07:00,34136
02-07-2018 06:00,32035
02-07-2018 05:00,31246
02-07-2018 04:00,31450
02-07-2018 03:00,32552
02-07-2018 02:00,34288
02-07-2018 01:00,36627
02-07-2018 00:00,39909
01-07-2018 23:00,43501
01-07-2018 22:00,46807
01-07-2018 21:00,48316
01-07-2018 20:00,50120
01-07-2018 19:00,51437
01-07-2018 18:00,51803
01-07-2018 17:00,51358
01-07-2018 16:00,50466
01-07-2018 15:00,49429
01-07-2018 14:00,48208
01-07-2018 13:00,46378
01-07-2018 12:00,44099
01-07-2018 11:00,41130
01-07-2018 10:00,37516
01-07-2018 09:00,33759
01-07-2018 08:00,30337
01-07-2018 07:00,28211
01-07-2018 06:00,27992
01-07-2018 05:00,28511
01-07-2018 04:00,29300
01-07-2018 03:00,30546
01-07-2018 02:00,32345
01-07-2018 01:00,34716
01-07-2018 00:00,37751
